Gün,Mağaza,Lokasyon,Kod,SatıcıÜrünAdı,ANAGRUP,ALTGRUP,URUNCESIDI,SatışMiktarı
1-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,4
1-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,13
1-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,4
1-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,7
2-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
2-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
2-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
2-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
3-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,8
3-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,4
4-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
4-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,8
4-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
5-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
5-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
5-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
5-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
6-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
6-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
6-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
7-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
7-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
7-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
7-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
8-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
8-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,8
8-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
8-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,4
9-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
9-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,1
9-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
10-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
10-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
10-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
10-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
11-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
11-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,6
11-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
12-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
12-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,10
12-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
13-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
13-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
13-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
13-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,4
14-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
14-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,11
14-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
14-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
15-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
15-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,12
15-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
15-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,9
16-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
16-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
16-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
16-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
17-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
17-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
17-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
18-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
18-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
18-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
19-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
19-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
19-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,-1
19-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
20-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,5
20-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,6
20-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
21-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
